payment_year,hcpcs_cpt_code,included_flag
2019,15756,yes
2019,15757,yes
2019,15758,yes
2019,15760,yes
2019,15770,yes
2019,15775,yes
2019,15776,yes
2019,15780,yes
2019,15781,yes
2019,15782,yes
2019,15783,yes
2019,15786,yes
2019,15788,yes
2019,15789,yes
2019,15792,yes
2019,15793,yes
2019,15819,yes
2019,15820,yes
2019,15821,yes
2019,15822,yes
2019,15823,yes
2019,15824,yes
2019,15825,yes
2019,15826,yes
2019,15828,yes
2019,15829,yes
2019,15830,yes
2019,15832,yes
2019,15833,yes
2019,15834,yes
2019,15835,yes
2019,15836,yes
2019,15837,yes
2019,15838,yes
2019,15839,yes
2019,15840,yes
2019,15841,yes
2019,15842,yes
2019,15845,yes
2019,15850,yes
2019,15851,yes
2019,15852,yes
2019,15860,yes
2019,15876,yes
2019,15877,yes
2019,15878,yes
2019,15879,yes
2019,15920,yes
2019,15922,yes
2019,15931,yes
2019,15933,yes
2019,15934,yes
2019,15935,yes
2019,15936,yes
2019,15937,yes
2019,15940,yes
2019,15941,yes
2019,15944,yes
2019,15945,yes
2019,15946,yes
2019,15950,yes
2019,15951,yes
2019,15952,yes
2019,15953,yes
2019,15956,yes
2019,15958,yes
2019,15999,yes
2019,16000,yes
2019,16020,yes
2019,16025,yes
2019,16030,yes
2019,16035,yes
2019,17000,yes
2019,17004,yes
2019,17106,yes
2019,17107,yes
2019,17108,yes
2019,17110,yes
2019,17111,yes
2019,17250,yes
2019,17260,yes
2019,17261,yes
2019,17262,yes
2019,17263,yes
2019,17264,yes
2019,17266,yes
2019,17270,yes
2019,17271,yes
2019,17272,yes
2019,17273,yes
2019,17274,yes
2019,17276,yes
2019,17280,yes
2019,17281,yes
2019,17282,yes
2019,17283,yes
2019,17284,yes
2019,17286,yes
2019,17311,yes
2019,17313,yes
2019,17340,yes
2019,17360,yes
2019,17380,yes
2019,17999,yes
2019,19000,yes
2019,19020,yes
2019,19105,yes
2019,19110,yes
2019,19112,yes
2019,19120,yes
2019,19125,yes
2019,19260,yes
2019,19271,yes
2019,19272,yes
2019,19296,yes
2019,19298,yes
2019,19300,yes
2019,19301,yes
2019,19302,yes
2019,19303,yes
2019,19304,yes
2019,19305,yes
2019,19306,yes
2019,19307,yes
2019,19316,yes
2019,19318,yes
2019,19324,yes
2019,19325,yes
2019,19328,yes
2019,19330,yes
2019,19340,yes
2019,19342,yes
2019,19350,yes
2019,19355,yes
2019,19357,yes
2019,19361,yes
2019,19364,yes
2019,19366,yes
2019,19367,yes
2019,19368,yes
2019,19369,yes
2019,19370,yes
2019,19371,yes
2019,19380,yes
2019,19396,yes
2019,19499,yes
2019,20100,yes
2019,20101,yes
2019,20102,yes
2019,20103,yes
2019,20150,yes
2019,20500,yes
2019,20520,yes
2019,20525,yes
2019,20526,yes
2019,20527,yes
2019,20550,yes
2019,20551,yes
2019,20552,yes
2019,20553,yes
2019,20555,yes
2019,20600,yes
2019,20604,yes
2019,20605,yes
2019,20606,yes
2019,20610,yes
2019,20611,yes
2019,20612,yes
2019,20615,yes
2019,20650,yes
2019,20660,yes
2019,20661,yes
2019,20662,yes
2019,20663,yes
2019,20664,yes
2019,20665,yes
2019,20670,yes
2019,20680,yes
2019,20690,yes
2019,20692,yes
2019,20693,yes
2019,20694,yes
2019,20696,yes
2019,20697,yes
2019,20802,yes
2019,20805,yes
2019,20808,yes
2019,20816,yes
2019,20822,yes
2019,20824,yes
2019,20827,yes
2019,20838,yes
2019,20900,yes
2019,20902,yes
2019,20910,yes
2019,20912,yes
2019,20920,yes
2019,20922,yes
2019,20924,yes
2019,20926,yes
2019,20950,yes
2019,20955,yes
2019,20956,yes
2019,20957,yes
2019,20962,yes
2019,20969,yes
2019,20970,yes
2019,20972,yes
2019,20973,yes
2019,20974,yes
2019,20975,yes
2019,20979,yes
2019,20982,yes
2019,20983,yes
2019,20999,yes
2019,21010,yes
2019,21011,yes
2019,21012,yes
2019,21013,yes
2019,21014,yes
2019,21015,yes
2019,21016,yes
2019,21025,yes
2019,21026,yes
2019,21029,yes
2019,21030,yes
2019,21031,yes
2019,21032,yes
2019,21034,yes
2019,21040,yes
2019,21044,yes
2019,21045,yes
2019,21046,yes
2019,21047,yes
2019,21048,yes
2019,21049,yes
2019,21050,yes
2019,21060,yes
2019,21070,yes
2019,21073,yes
2019,21076,yes
2019,21077,yes
2019,21079,yes
2019,21080,yes
2019,21081,yes
2019,21082,yes
2019,21083,yes
2019,21084,yes
2019,21085,yes
2019,21086,yes
2019,21087,yes
2019,21088,yes
2019,21089,yes
2019,21100,yes
2019,21110,yes
2019,21120,yes
2019,21121,yes
2019,21122,yes
2019,21123,yes
2019,21125,yes
2019,21127,yes
2019,21137,yes
2019,21138,yes
2019,21139,yes
2019,21141,yes
2019,21142,yes
2019,21143,yes
2019,21145,yes
2019,21146,yes
2019,21147,yes
2019,21150,yes
2019,21151,yes
2019,21154,yes
2019,21155,yes
2019,21159,yes
2019,21160,yes
2019,21172,yes
2019,21175,yes
2019,21179,yes
2019,21180,yes
2019,21181,yes
2019,21182,yes
2019,21183,yes
2019,21184,yes
2019,21188,yes
2019,21193,yes
2019,21194,yes
2019,21195,yes
2019,21196,yes
2019,21198,yes
2019,21199,yes
2019,21206,yes
2019,21208,yes
2019,21209,yes
2019,21210,yes
2019,21215,yes
2019,21230,yes
2019,21235,yes
2019,21240,yes
2019,21242,yes
2019,21243,yes
2019,21244,yes
2019,21245,yes
2019,21246,yes
2019,21247,yes
2019,21248,yes
2019,21249,yes
2019,21255,yes
2019,21256,yes
2019,21260,yes
2019,21261,yes
2019,21263,yes
2019,21267,yes
2019,21268,yes
2019,21270,yes
2019,21275,yes
2019,21280,yes
2019,21282,yes
2019,21295,yes
2019,21296,yes
2019,21299,yes
2019,21310,yes
2019,21315,yes
2019,21320,yes
2019,21325,yes
2019,21330,yes
2019,21335,yes
2019,21336,yes
2019,21337,yes
2019,21338,yes
2019,21339,yes
2019,21340,yes
2019,21343,yes
2019,21344,yes
2019,21345,yes
2019,21346,yes
2019,21347,yes
2019,21348,yes
2019,21355,yes
2019,21356,yes
2019,21360,yes
2019,21365,yes
2019,21366,yes
2019,21385,yes
2019,21386,yes
2019,21387,yes
2019,21390,yes
2019,21395,yes
2019,21400,yes
2019,21401,yes
2019,21406,yes
2019,21407,yes
2019,21408,yes
2019,21421,yes
2019,21422,yes
2019,21423,yes
2019,21431,yes
2019,21432,yes
2019,21433,yes
2019,21435,yes
2019,21436,yes
2019,21440,yes
2019,21445,yes
2019,21450,yes
2019,21451,yes
2019,21452,yes
2019,21453,yes
2019,21454,yes
2019,21461,yes
2019,21462,yes
2019,21465,yes
2019,21470,yes
2019,21480,yes
2019,21485,yes
2019,21490,yes
2019,21497,yes
2019,21499,yes
2019,21501,yes
2019,21502,yes
2019,21510,yes
2019,21552,yes
2019,21554,yes
2019,21555,yes
2019,21556,yes
2019,21557,yes
2019,21558,yes
2019,21600,yes
2019,21610,yes
2019,21615,yes
2019,21616,yes
