icd9,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
27788,1,0,0,0,0,0,0,0
27789,0,0,0,1,0,0,0,0
2780,0,0,1,0,0,0,0,0
27800,0,0,1,0,0,0,0,0
27801,0,0,1,0,0,0,0,0
27802,0,0,1,0,0,0,0,0
27803,0,0,1,0,0,0,0,0
27941,1,0,0,0,0,0,0,0
27949,1,0,0,0,0,0,0,0
27950,0,0,0,0,1,0,0,0
27951,0,0,0,0,1,0,0,0
27952,0,0,0,0,1,0,0,0
27953,0,0,0,0,1,0,0,0
28240,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28241,0.6666666667,0,0.3333333333,0,0,0,0,0
28242,0.6666666667,0,0.3333333333,0,0,0,0,0
28243,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28244,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28245,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28246,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28247,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28249,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28260,0.6666666667,0,0.3333333333,0,0,0,0,0
28261,0.6666666667,0,0.3333333333,0,0,0,0,0
28262,0.6666666667,0,0.3333333333,0,0,0,0,0
28264,0.6666666667,0,0.3333333333,0,0,0,0,0
28268,0.6666666667,0,0.3333333333,0,0,0,0,0
28401,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28409,0.3333333333,0,0.1666666667,0.5,0,0,0,0
2841,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28411,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28412,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28419,0.3333333333,0,0.1666666667,0.5,0,0,0,0
2842,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28481,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28489,0.3333333333,0,0.1666666667,0.5,0,0,0,0
2853,1,0,0,0,0,0,0,0
2859,0.3333333333,0,0.1666666667,0.5,0,0,0,0
28652,1,0,0,0,0,0,0,0
28653,1,0,0,0,0,0,0,0
28659,1,0,0,0,0,0,0,0
28730,1,0,0,0,0,0,0,0
28731,1,0,0,0,0,0,0,0
28732,1,0,0,0,0,0,0,0
28733,1,0,0,0,0,0,0,0
28739,1,0,0,0,0,0,0,0
