icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
C91Z2,1,0,0,0,0,0,0,0
C9202,1,0,0,0,0,0,0,0
C9212,1,0,0,0,0,0,0,0
C9222,1,0,0,0,0,0,0,0
C9232,1,0,0,0,0,0,0,0
C9242,1,0,0,0,0,0,0,0
C9252,1,0,0,0,0,0,0,0
C9262,1,0,0,0,0,0,0,0
C9292,1,0,0,0,0,0,0,0
C92A2,1,0,0,0,0,0,0,0
C92Z2,1,0,0,0,0,0,0,0
C9302,1,0,0,0,0,0,0,0
C9312,1,0,0,0,0,0,0,0
C9332,1,0,0,0,0,0,0,0
C9392,1,0,0,0,0,0,0,0
C93Z2,1,0,0,0,0,0,0,0
C9402,1,0,0,0,0,0,0,0
C9422,1,0,0,0,0,0,0,0
C9432,1,0,0,0,0,0,0,0
C9440,1,0,0,0,0,0,0,0
C9441,1,0,0,0,0,0,0,0
C9442,1,0,0,0,0,0,0,0
C946,1,0,0,0,0,0,0,0
C9482,1,0,0,0,0,0,0,0
C9502,1,0,0,0,0,0,0,0
C9512,1,0,0,0,0,0,0,0
C9592,1,0,0,0,0,0,0,0
C965,0,0,0,1,0,0,0,0
C966,0,0,0,1,0,0,0,0
D071,1,0,0,0,0,0,0,0
D072,1,0,0,0,0,0,0,0
D0730,1,0,0,0,0,0,0,0
D0739,1,0,0,0,0,0,0,0
D259,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A00,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A010,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A011,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A012,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A019,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A020,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A021,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A022,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A023,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A024,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A025,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A026,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A029,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A090,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A091,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A092,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A093,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A094,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A095,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A096,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A098,0.3333333333,0,0,0.6666666667,0,0,0,0
D3A8,0.3333333333,0,0,0.6666666667,0,0,0,0
D460,1,0,0,0,0,0,0,0
D461,1,0,0,0,0,0,0,0
D4620,1,0,0,0,0,0,0,0
D4621,1,0,0,0,0,0,0,0
D4622,1,0,0,0,0,0,0,0
D464,1,0,0,0,0,0,0,0
D469,1,0,0,0,0,0,0,0
D46A,1,0,0,0,0,0,0,0
D46B,1,0,0,0,0,0,0,0
D46C,1,0,0,0,0,0,0,0
D46Z,1,0,0,0,0,0,0,0
D471,1,0,0,0,0,0,0,0
D473,1,0,0,0,0,0,0,0
D474,1,0,0,0,0,0,0,0
D479,1,0,0,0,0,0,0,0
D47Z1,1,0,0,0,0,0,0,0
