diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
C4A30,12,12,12,12,21,19,22
C4A31,12,12,12,12,21,19,22
C4A39,12,12,12,12,21,19,22
C4A4,12,12,12,12,21,19,22
C4A51,12,12,12,12,21,19,22
C4A52,12,12,12,12,21,19,22
C4A59,12,12,12,12,21,19,22
C4A60,12,12,12,12,21,19,22
C4A61,12,12,12,12,21,19,22
C4A62,12,12,12,12,21,19,22
C4A70,12,12,12,12,21,19,22
C4A71,12,12,12,12,21,19,22
C4A72,12,12,12,12,21,19,22
C4A8,12,12,12,12,21,19,22
C4A9,12,12,12,12,21,19,22
C50011,12,12,12,12,23,19,22
C50012,12,12,12,12,23,19,22
C50019,12,12,12,12,23,19,22
C50021,12,12,12,12,23,19,22
C50022,12,12,12,12,23,19,22
C50029,12,12,12,12,23,19,22
C50111,12,12,12,12,23,19,22
C50112,12,12,12,12,23,19,22
C50119,12,12,12,12,23,19,22
C50121,12,12,12,12,23,19,22
C50122,12,12,12,12,23,19,22
C50129,12,12,12,12,23,19,22
C50211,12,12,12,12,23,19,22
C50212,12,12,12,12,23,19,22
C50219,12,12,12,12,23,19,22
C50221,12,12,12,12,23,19,22
C50222,12,12,12,12,23,19,22
C50229,12,12,12,12,23,19,22
C50311,12,12,12,12,23,19,22
C50312,12,12,12,12,23,19,22
C50319,12,12,12,12,23,19,22
C50321,12,12,12,12,23,19,22
C50322,12,12,12,12,23,19,22
C50329,12,12,12,12,23,19,22
C50411,12,12,12,12,23,19,22
C50412,12,12,12,12,23,19,22
C50419,12,12,12,12,23,19,22
C50421,12,12,12,12,23,19,22
C50422,12,12,12,12,23,19,22
C50429,12,12,12,12,23,19,22
C50511,12,12,12,12,23,19,22
C50512,12,12,12,12,23,19,22
C50519,12,12,12,12,23,19,22
C50521,12,12,12,12,23,19,22
C50522,12,12,12,12,23,19,22
C50529,12,12,12,12,23,19,22
C50611,12,12,12,12,23,19,22
C50612,12,12,12,12,23,19,22
C50619,12,12,12,12,23,19,22
C50621,12,12,12,12,23,19,22
C50622,12,12,12,12,23,19,22
C50629,12,12,12,12,23,19,22
C50811,12,12,12,12,23,19,22
C50812,12,12,12,12,23,19,22
C50819,12,12,12,12,23,19,22
C50821,12,12,12,12,23,19,22
C50822,12,12,12,12,23,19,22
C50829,12,12,12,12,23,19,22
C50911,12,12,12,12,23,19,22
C50912,12,12,12,12,23,19,22
C50919,12,12,12,12,23,19,22
C50921,12,12,12,12,23,19,22
C50922,12,12,12,12,23,19,22
C50929,12,12,12,12,23,19,22
